fase,alvo,dt,distancia_horizontal_px,subida_px,amostras,acertos,taxa_geometrica_pct,largura_janela_px,classificacao
1,0,0.5,0,60,160,99,61.875,98,Válida (alcançável)
1,0,1,0,60,160,99,61.875,98,Válida (alcançável)
1,0,1.2,0,60,160,97,60.625,96,Válida (alcançável)
1,1,0.5,40,-4,157,72,45.859872611464965,71,Válida (alcançável)
1,1,1,40,-4,157,72,45.859872611464965,71,Válida (alcançável)
1,1,1.2,40,-4,157,71,45.22292993630573,70,Válida (alcançável)
1,2,0.5,40,21,147,68,46.25850340136054,67,Válida (alcançável)
1,2,1,40,21,147,67,45.57823129251701,66,Válida (alcançável)
1,2,1.2,40,21,147,67,45.57823129251701,66,Válida (alcançável)
1,3,0.5,40,21,162,69,42.592592592592595,68,Válida (alcançável)
1,3,1,40,21,162,67,41.358024691358025,66,Válida (alcançável)
1,3,1.2,40,21,162,67,41.358024691358025,66,Válida (alcançável)
1,4,0.5,71,21,152,38,25,37,Válida (alcançável)
1,4,1,71,21,152,36,23.68421052631579,35,Válida (alcançável)
1,4,1.2,71,21,152,36,23.68421052631579,35,Válida (alcançável)
1,5,0.5,99,21,87,28,32.18390804597701,27,Válida (alcançável)
1,5,1,99,21,87,27,31.03448275862069,26,Válida (alcançável)
1,5,1.2,99,21,87,27,31.03448275862069,26,Válida (alcançável)
1,6,0.5,102,21,108,33,30.555555555555557,32,Válida (alcançável)
1,6,1,102,21,108,31,28.703703703703702,30,Válida (alcançável)
1,6,1.2,102,21,108,31,28.703703703703702,30,Válida (alcançável)
1,7,0.5,78,21,81,31,38.27160493827161,30,Válida (alcançável)
1,7,1,78,21,81,29,35.80246913580247,28,Válida (alcançável)
1,7,1.2,78,21,81,29,35.80246913580247,28,Válida (alcançável)
1,8,0.5,35,21,162,74,45.67901234567901,73,Válida (alcançável)
1,8,1,35,21,162,72,44.44444444444444,71,Válida (alcançável)
1,8,1.2,35,21,162,72,44.44444444444444,71,Válida (alcançável)
1,9,0.5,61,31,127,45,35.43307086614173,44,Válida (alcançável)
1,9,1,61,31,127,45,35.43307086614173,44,Válida (alcançável)
1,9,1.2,61,31,127,43,33.85826771653543,42,Válida (alcançável)
2,10,0.5,196,-8,65,65,100,64,Válida (alcançável)
2,10,1,196,-8,65,65,100,64,Válida (alcançável)
2,10,1.2,196,-8,65,65,100,64,Válida (alcançável)
2,11,0.5,80,8,152,73,48.026315789473685,72,Válida (alcançável)
2,11,1,80,8,152,71,46.71052631578947,70,Válida (alcançável)
2,11,1.2,80,8,152,70,46.05263157894737,69,Válida (alcançável)
2,12,0.5,92,12,147,67,45.57823129251701,66,Válida (alcançável)
2,12,1,92,12,147,65,44.21768707482993,64,Válida (alcançável)
2,12,1.2,92,12,147,65,44.21768707482993,64,Válida (alcançável)
2,13,0.5,105,14,142,62,43.66197183098591,61,Válida (alcançável)
2,13,1,105,14,142,60,42.25352112676056,59,Válida (alcançável)
2,13,1.2,105,14,142,60,42.25352112676056,59,Válida (alcançável)
2,14,0.5,120,-8,137,57,41.605839416058394,56,Válida (alcançável)
2,14,1,120,-8,137,54,39.416058394160586,53,Válida (alcançável)
2,14,1.2,120,-8,137,53,38.68613138686131,52,Válida (alcançável)
2,15,0.5,135,22,132,51,38.63636363636363,50,Válida (alcançável)
2,15,1,135,22,132,50,37.878787878787875,49,Válida (alcançável)
2,15,1.2,135,22,132,48,36.36363636363637,47,Válida (alcançável)
2,16,0.5,152,12,127,46,36.22047244094488,45,Válida (alcançável)
2,16,1,152,12,127,45,35.43307086614173,44,Válida (alcançável)
2,16,1.2,152,12,127,44,34.645669291338585,43,Válida (alcançável)
2,17,0.5,170,16,122,41,33.60655737704918,40,Válida (alcançável)
2,17,1,170,16,122,38,31.147540983606557,37,Válida (alcançável)
2,17,1.2,170,16,122,37,30.327868852459016,36,Válida (alcançável)
2,18,0.5,192,10,117,38,32.47863247863248,37,Válida (alcançável)
2,18,1,192,10,117,37,31.623931623931625,36,Válida (alcançável)
2,18,1.2,192,10,117,34,29.05982905982906,33,Válida (alcançável)
2,19,0.5,218,-10,113,37,32.743362831858406,36,Válida (alcançável)
2,19,1,218,-10,113,33,29.20353982300885,32,Válida (alcançável)
2,19,1.2,218,-10,113,33,29.20353982300885,32,Válida (alcançável)
2,20,0.5,245,12,112,35,31.25,34,Válida (alcançável)
2,20,1,245,12,112,31,27.678571428571427,30,Válida (alcançável)
2,20,1.2,245,12,112,30,26.785714285714285,29,Válida (alcançável)
2,21,0.5,278,8,109,31,28.440366972477065,30,Válida (alcançável)
2,21,1,278,8,109,29,26.605504587155963,28,Válida (alcançável)
2,21,1.2,278,8,109,29,26.605504587155963,28,Válida (alcançável)
3,0,0.5,0,50,470,123,26.170212765957448,122,Válida (alcançável)
3,0,1,0,50,470,120,25.53191489361702,119,Válida (alcançável)
3,0,1.2,0,50,470,119,25.319148936170212,118,Válida (alcançável)
3,1,0.5,72,18,167,101,60.47904191616767,100,Válida (alcançável)
3,1,1,72,18,167,98,58.68263473053892,97,Válida (alcançável)
3,1,1.2,72,18,167,97,58.08383233532934,96,Válida (alcançável)
3,2,0.5,95,18,157,98,62.4203821656051,97,Válida (alcançável)
3,2,1,95,18,157,95,60.50955414012739,94,Válida (alcançável)
3,2,1.2,95,18,157,94,59.87261146496815,93,Válida (alcançável)
3,3,0.5,118,18,152,95,62.5,94,Válida (alcançável)
3,3,1,118,18,152,92,60.526315789473685,91,Válida (alcançável)
3,3,1.2,118,18,152,91,59.86842105263158,90,Válida (alcançável)
3,4,0.5,145,18,147,90,61.224489795918366,89,Válida (alcançável)
3,4,1,145,18,147,86,58.50340136054422,85,Válida (alcançável)
3,4,1.2,145,18,147,86,58.50340136054422,85,Válida (alcançável)
3,5,0.5,170,18,142,89,62.67605633802817,88,Válida (alcançável)
3,5,1,170,18,142,87,61.267605633802816,86,Válida (alcançável)
3,5,1.2,170,18,142,84,59.15492957746479,83,Válida (alcançável)
3,6,0.5,200,17,135,81,60,80,Válida (alcançável)
3,6,1,200,17,135,79,58.51851851851852,78,Válida (alcançável)
3,6,1.2,200,17,135,77,57.03703703703704,76,Válida (alcançável)
3,7,0.5,230,17,127,75,59.05511811023622,74,Válida (alcançável)
3,7,1,230,17,127,73,57.48031496062992,72,Válida (alcançável)
3,7,1.2,230,17,127,71,55.90551181102362,70,Válida (alcançável)
3,8,0.5,260,17,121,71,58.67768595041322,70,Válida (alcançável)
3,8,1,260,17,121,67,55.37190082644628,66,Válida (alcançável)
3,8,1.2,260,17,121,66,54.54545454545455,65,Válida (alcançável)
3,9,0.5,290,16,115,66,57.391304347826086,65,Válida (alcançável)
3,9,1,290,16,115,61,53.04347826086956,60,Válida (alcançável)
3,9,1.2,290,16,115,61,53.04347826086956,60,Válida (alcançável)
3,10,0.5,324,16,111,58,52.252252252252255,57,Válida (alcançável)
3,10,1,324,16,111,52,46.846846846846844,51,Válida (alcançável)
3,10,1.2,324,16,111,54,48.648648648648646,53,Válida (alcançável)
3,11,0.5,355,16,107,56,52.33644859813084,55,Válida (alcançável)
3,11,1,355,16,107,53,49.532710280373834,52,Válida (alcançável)
3,11,1.2,355,16,107,50,46.728971962616825,49,Válida (alcançável)
3,12,0.5,390,15,102,48,47.05882352941177,47,Válida (alcançável)
3,12,1,390,15,102,45,44.11764705882353,44,Válida (alcançável)
3,12,1.2,390,15,102,43,42.15686274509804,42,Válida (alcançável)
3,13,0.5,425,15,97,41,42.2680412371134,40,Válida (alcançável)
3,13,1,425,15,97,38,39.175257731958766,37,Válida (alcançável)
3,13,1.2,425,15,97,36,37.11340206185567,35,Válida (alcançável)
3,14,0.5,460,14,93,38,40.86021505376344,37,Válida (alcançável)
3,14,1,460,14,93,31,33.333333333333336,30,Válida (alcançável)
3,14,1.2,460,14,93,31,33.333333333333336,30,Válida (alcançável)
3,15,0.5,480,43,87,25,28.735632183908045,24,Válida (alcançável)
3,15,1,480,43,87,18,20.689655172413794,17,Válida (alcançável)
3,15,1.2,480,43,87,15,17.24137931034483,14,Válida (alcançável)
